respondent_serial,respondent_id,country,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,levelsch,highestlevel,unisch,postgradsch,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,noofchildren,childage,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,q20_q211,q20_q212,q20_q213,q20_q214,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_education1,ban_education2,ban_education3,ban_education4,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_no_ofchildren,ban_age_youngest,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
157,GEN24_1009,Singapore,1996,25,25,25-34 years old,Male,Full-time student,Junior College/Centralised Institute,Junior College/Centralised Institute,-,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Strongly Agree,Agree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Single,No,-,-,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,25-34 yo,Male,Low (below $3k),-,No,Yes,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
160,GEN24_1010,Singapore,2005,16,16,16-24 years old,Female,Full-time student,Secondary school,None or Primary school,-,-,Never worked before,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",4,Single,No,-,-,No personal income,No household income,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,16-24 yo,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,Neutral,Neutral,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
163,GEN24_1011,Singapore,1966,55,55,55-64 years old,Female,Employee (working full-time in private sector),-,Secondary school,-,-,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Married,Yes,2,22 years or older,"$4,000-$5,999","$10,000-$14,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,Medium ($3k to $7.9k),High ($10k and above),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
166,GEN24_1012,Singapore,1978,43,43,35-44 years old,Male,Employee (working full-time in private sector),-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Overseas Institutions outside Singapore,"Professional, Scientific and Technical Activities",Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Strongly Agree,Agree,Neutral,Disagree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",1,Married,Yes,2,7 to 12 years old,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,35-44 yo,Male,-,-,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,7 to 12 years old,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,Neutral,B2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
169,GEN24_1013,Singapore,1993,28,28,25-34 years old,Male,Employee (working full-time in public service),-,"University undergraduate (i.e., general/honours degree)",Private Institution in Singapore that offers degrees from overseas universities,-,Singapore Public Service/ Government employees,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Disagree,Disagree,Disagree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Single,No,-,-,"$4,000-$5,999","$4,000-$5,999",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Single,No,Yes,No,Yes,-,-,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,B2B,B2B,B2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
175,GEN24_1014,Singapore,1961,60,60,55-64 years old,Male,Employee (working full-time in private sector),-,Polytechnic,-,-,Information and Communications,"Senior Management (CEO, COO, Director & above, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,2,22 years or older,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Male,-,-,No,No,Yes,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,Neutral,No,No,No,Yes,No,Yes,No,Fairness_Cheating
178,GEN24_1015,Singapore,1950,71,71,65 years old and above,Female,Retiree,-,None or Primary school,-,-,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",3,2,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Divorced / Widowed / Separated,Yes,1,22 years or older,No personal income,No household income,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,1 child,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,Yes,No,No,Yes,No,Purity_Degradation
406,GEN24_1016,Singapore,1958,63,63,55-64 years old,Female,Employee (working full-time in private sector),-,Secondary school,-,-,Other,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,2,22 years or older,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,55-64 yo,Female,-,-,Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
408,GEN24_1017,Singapore,1961,60,60,55-64 years old,Male,Retiree,-,Secondary school,-,-,Health and Social Services,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Disagree,Disagree,Disagree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,3,18 to 21 years old,No personal income,"$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,-,-,-,-,55-64 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,B2B,B2B,B2B,Neutral,No,No,Yes,No,No,No,Yes,Fairness_Cheating
409,GEN24_1018,Singapore,1984,37,37,35-44 years old,Male,Employee (working full-time in private sector),-,Secondary school,-,-,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,No,-,-,"$2,000-$2,999","$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,-,-,-,-,35-44 yo,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,No,Yes,No,Yes,-,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Purity_Degradation
413,GEN24_1019,Singapore,1960,61,61,55-64 years old,Male,Employer (i.e. persons who operate own business WITH paid employees),-,"University postgraduate (e.g. MA, MSc., MBA, PhD)",-,Local University in Singapore,Other Service Activities,Business owner/ Sole proprietor/ Self-employed,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",4,Married,Yes,2,22 years or older,Prefer not to answer,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,55-64 yo,Male,-,-,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,Yes,No,No,No,Yes,Harm_Care
419,GEN24_1020,Singapore,1955,66,66,65 years old and above,Male,Retiree,-,None or Primary school,-,-,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Neutral,Agree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,2,22 years or older,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,65 yo +,Male,Low (below $3k),-,Yes,No,No,No,-,-,-,-,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,Net - 2-3 children,Net- 18 yo+,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",Neutral,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
424,GEN24_1021,Singapore,2003,18,18,16-24 years old,Male,Full-time student,ITE/Vocational Institute,Secondary school,-,-,Other,Other,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,2,3,Agree,Agree,Strongly Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",4,Single,No,-,-,No personal income,Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,-,-,-,-,16-24 yo,Male,Low (below $3k),-,Yes,Yes,No,No,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Harm_Care
428,GEN24_1022,Singapore,1967,54,54,45-54 years old,Male,Employee (working full-time in private sector),-,ITE/Vocational Institute,-,-,Transportation and Storage,"Non-management (Clerical/ Technical staff, General Worker)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",1,Married,Yes,1,22 years or older,"$2,000-$2,999","$2,000-$2,999",Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,-,-,-,-,45-54 yo,Male,Low (below $3k),Low (below $4k),No,Yes,No,No,-,-,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,1 child,Net- 18 yo+,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,Yes,No,No,No,No,Yes,Harm_Care
436,GEN24_1023,Singapore,1994,27,27,25-34 years old,Female,Full-time student,"University undergraduate (i.e., general/honours degree)",Polytechnic,-,-,Other,Other,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",2,1,3,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,-,-,No personal income,Prefer not to answer,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,-,-,-,-,25-34 yo,Female,Low (below $3k),-,No,No,Yes,Yes,-,-,-,-,Yes,No,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,Single,No,Yes,No,Yes,-,-,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Yes,No,No,Yes,No,Harm_Care
494,GEN24_1024,Singapore,1980,41,41,35-44 years old,Male,Employee (working full-time in private sector),-,"University undergraduate (i.e., general/honours degree)",Local University in Singapore,-,Information and Communications,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",2,1,3,Agree,Neutral,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",4,Married,No,-,-,"$6,000-$7,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,35-44 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,No,Yes,No,Yes,-,-,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,Neutral,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
