respondent_serial,respondent_id,yearbornin_1_slice,yearbornin_1_slice1,ageofrespondent,indicateage,gender,occstatus,highestlevel,occupationindustry,occupation2,whichauthority,rankmostimptchild_1,rankmostimptchild_2,rankmostimptchild_3,livinginsg_1_slice,livinginsg_2_slice,livinginsg_3_slice,livinginsg_4_slice,vbc,sliderliberty_1_slice,maritialstatus,children,personalincome,hhi,socialnetwork_1_slice,socialnetwork_2_slice,socialnetwork_3_slice,socialnetwork_4_slice,socialnetwork_5_slice,socialnetwork_6_slice,socialnetwork_dp01,socialnetwork_dp02,socialnetwork_dp03,socialnetwork_dp04,socialnetwork_dp05,socialnetwork_dp06,socialnetwork_dp07,socialnetwork_dp08,socialnetwork_dp09,socialnetwork_dp10,ban_age,ban_gender,ban_personal_inc,ban_mhi,ban_q18_q191,ban_q18_q192,ban_q18_q193,ban_q18_q194,ban_occupation_status1,ban_occupation_status2,ban_occupation_status3,ban_occupation_status4,ban_occupation_status5,ban_occupation_status6,ban_occupation_status7,ban_occupation_status8,ban_occupation_status9,ban_occupation_role1,ban_occupation_role2,ban_occupation_role3,ban_occupation_role4,ban_occupation_role5,ban_occupation_role6,ban_occupation_role7,ban_occupation_role8,ban_marital,ban_children1,ban_children2,ban_children3,ban_children4,ban_q28,ban_q30_1,ban_q30_2,ban_q30_3,ban_q30_4,ban_q32,ban_q431,ban_q432,ban_q433,ban_q434,ban_q435,ban_q436,ban_q437,md_segment
327,GEN24_1385,1953,68,68,65 years old and above,Female,Housewife / homemaker,None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Strongly Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,No personal income,"$2,000-$2,999",No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,Yes,No,No,No,No,No,Yes,Harm_Care
332,GEN24_1386,1979,42,42,35-44 years old,Female,Housewife / homemaker,"University undergraduate (i.e., general/honours degree)",Wholesale and Retail Trade,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,No personal income,"$8,000- $9,999",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,35-44 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,Yes,No,No,No,No,Yes,Purity_Degradation
335,GEN24_1387,1989,32,32,25-34 years old,Male,Employee (working full-time in private sector),Polytechnic,Financial and Insurance Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$3,000-$3,999","$4,000-$5,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,Neutral,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
341,GEN24_1388,1983,38,38,35-44 years old,Female,Employee (working full-time in private sector),ITE/Vocational Institute,Manufacturing,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,No,"$2,000-$2,999","$6,000-$7,999",No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,35-44 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Purity_Degradation
346,GEN24_1389,1968,53,53,45-54 years old,Male,Employee (working full-time in private sector),None or Primary school,Wholesale and Retail Trade,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$4,000-$5,999",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,45-54 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,Neutral,Neutral,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
350,GEN24_1390,1954,67,67,65 years old and above,Male,Retiree,Secondary school,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,No personal income,"$4,000-$5,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,65 yo +,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Fairness_Cheating
414,GEN24_1391,1954,67,67,65 years old and above,Female,Housewife / homemaker,None or Primary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Divorced / Widowed / Separated,Yes,No personal income,Prefer not to answer,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,65 yo +,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
769,GEN24_1392,1966,55,55,55-64 years old,Male,Employee (working full-time in private sector),Secondary school,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$6,000-$7,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,55-64 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Purity_Degradation
771,GEN24_1393,1953,68,68,65 years old and above,Female,Housewife / homemaker,None or Primary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,No personal income,"$4,000-$5,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,65 yo +,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
774,GEN24_1394,1963,58,58,55-64 years old,Female,Employee (working full-time in private sector),None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$1,000-$1,999","$4,000-$5,999",No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,55-64 yo,Female,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,Yes,No,Harm_Care
13,GEN24_1402,1956,65,65,65 years old and above,Male,Retiree,"University undergraduate (i.e., general/honours degree)",Manufacturing,"Senior Management (CEO, COO, Director & above, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Strongly Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,"$10,000-$14,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,65 yo +,Male,High ($8k and above),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Authority_Subversion
28,GEN24_1405,1965,56,56,55-64 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Transportation and Storage,"Senior Management (CEO, COO, Director & above, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Married,Yes,"$15,000-$19,999","$20,000-$29,999",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,55-64 yo,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,Neutral,Neutral,Neutral,B2B,No,Yes,No,No,No,No,Yes,Harm_Care
103,GEN24_1406,1953,68,68,65 years old and above,Male,Retiree,Secondary school,Transportation and Storage,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,"$2,000-$2,999","$2,000-$2,999",Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,65 yo +,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",T2B,T2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Fairness_Cheating
108,GEN24_1407,2000,21,21,16-24 years old,Female,Full-time student,Secondary school,Accommodation and Food Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,3,2,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",4,Divorced / Widowed / Separated,Yes,"$1,000-$1,999","$2,000-$2,999",No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,16-24 yo,Female,Low (below $3k),Low (below $4k),Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,T2B,No,No,No,No,Yes,No,Yes,Harm_Care
113,GEN24_1408,1996,25,25,25-34 years old,Male,Employee (working part-time/casual),ITE/Vocational Institute,Health and Social Services,"Blue Collar Unskilled (Labourer, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,2,3,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Single,No,"Below $1,000",Prefer not to answer,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,25-34 yo,Male,Low (below $3k),Medium ($4k to $9.9k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,No,Yes,No,Yes,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,Neutral,Neutral,Neutral,No,No,No,No,Yes,No,Yes,Fairness_Cheating
116,GEN24_1409,1963,58,58,55-64 years old,Male,Employee (working full-time in private sector),Secondary school,Construction,"Blue Collar Skilled (Technician, Taxi Driver, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Agree,Disagree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,Yes,"$4,000-$5,999",Prefer not to answer,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,55-64 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,T2B,T2B,B2B,No,No,Yes,No,No,No,Yes,Harm_Care
118,GEN24_1410,1981,40,40,35-44 years old,Male,Employee (working full-time in private sector),ITE/Vocational Institute,Transportation and Storage,Middle Management (Department/ Functional Senior Manager or Manager),"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",4,Married,Yes,"$2,000-$2,999","$3,000-$3,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,35-44 yo,Male,Low (below $3k),Low (below $4k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,T2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
509,GEN24_1411,1977,44,44,35-44 years old,Female,Housewife / homemaker,Polytechnic,Accommodation and Food Service Activities,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",1,3,2,Neutral,Neutral,Neutral,Strongly Disagree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Married,Yes,"$3,000-$3,999","$6,000-$7,999",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,35-44 yo,Female,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Married,Yes,No,No,No,"Someone who is my elder(s) (e.g. grandparents, parents, older siblings)",Neutral,Neutral,Neutral,B2B,Neutral,No,No,Yes,No,No,No,Yes,Harm_Care
512,GEN24_1413,1965,56,56,55-64 years old,Male,Employee (working part-time/casual),None or Primary school,Transportation and Storage,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Single,No,"Below $1,000","Below $1,000",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,55-64 yo,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,Neutral,B2B,No,Yes,No,No,No,No,Yes,Purity_Degradation
513,GEN24_1414,1959,62,62,55-64 years old,Male,Employee (working full-time in private sector),None or Primary school,Other Service Activities,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Single,No,"$1,000-$1,999","$1,000-$1,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,55-64 yo,Male,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,Yes,No,No,No,No,Yes,Harm_Care
515,GEN24_1415,1942,79,79,65 years old and above,Female,Retiree,None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Agree,Strongly Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Divorced / Widowed / Separated,Yes,"Below $1,000","Below $1,000",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,65 yo +,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
609,GEN24_1416,1954,67,67,65 years old and above,Male,Retiree,"University undergraduate (i.e., general/honours degree)",Information and Communications,"Senior Management (CEO, COO, Director & above, etc.)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",1,2,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",2,Married,Yes,"$15,000-$19,999","$15,000-$19,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,65 yo +,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
749,GEN24_1421,1990,31,31,25-34 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Information and Communications,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$4,000-$5,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Medium ($3k to $7.9k),Medium ($4k to $9.9k),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,Neutral,Neutral,Neutral,No,No,No,Yes,No,Yes,No,Purity_Degradation
756,GEN24_1424,1999,22,22,16-24 years old,Male,Employee (working full-time in public service),Secondary school,Singapore Public Service/ Government employees,"Professionals (Lawyer/Doctor/ Engineer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Agree,Agree,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$2,000-$2,999",Prefer not to answer,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,16-24 yo,Male,Low (below $3k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,Neutral,Neutral,Neutral,No,No,Yes,No,No,No,Yes,Fairness_Cheating
803,GEN24_1429,1969,52,52,45-54 years old,Male,Employee (working full-time in private sector),"University undergraduate (i.e., general/honours degree)",Construction,"Senior Management (CEO, COO, Director & above, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Neutral,Neutral,Agree,Neutral,"People should be allowed to express their views or opinions, as long as they are able to back it up with facts and evide",3,Married,Yes,"$15,000-$19,999","$20,000-$29,999",No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,45-54 yo,Male,High ($8k and above),High ($10k and above),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",Neutral,Neutral,T2B,Neutral,Neutral,No,Yes,No,No,No,No,Yes,Fairness_Cheating
937,GEN24_1431,1959,62,62,55-64 years old,Female,Housewife / homemaker,None or Primary school,Manufacturing,"Blue Collar Unskilled (Labourer, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,1,3,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Divorced / Widowed / Separated,Yes,"Below $1,000","$1,000-$1,999",No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,55-64 yo,Female,Low (below $3k),Low (below $4k),Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Divorced/ Widowed/ Separated,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
940,GEN24_1432,1996,25,25,25-34 years old,Female,Employee (working full-time in public service),ITE/Vocational Institute,Singapore Public Service/ Government employees,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",2,3,1,Agree,Agree,Agree,Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",3,Married,Yes,"$2,000-$2,999","$2,000-$2,999",No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,25-34 yo,Female,Low (below $3k),Low (below $4k),No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,Neutral,No,Yes,No,No,No,No,Yes,Harm_Care
943,GEN24_1433,1976,45,45,45-54 years old,Female,Employee (working full-time in public service),Secondary school,Singapore Public Service/ Government employees,"Junior Management (Department/ Functional Supervisors, Executives, etc.)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,3,2,Agree,Agree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Married,Yes,"$4,000-$5,999","$8,000- $9,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,45-54 yo,Female,Medium ($3k to $7.9k),Medium ($4k to $9.9k),Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Married,Yes,No,No,No,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,T2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
946,GEN24_1434,1996,25,25,25-34 years old,Male,Full-time student,Polytechnic,Other Service Activities,"Non-management (Clerical/ Technical staff, General Worker)","Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",3,1,2,Neutral,Agree,Agree,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",2,Single,No,"Below $1,000","$4,000-$5,999",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,25-34 yo,Male,Low (below $3k),Medium ($4k to $9.9k),No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Single,No,Yes,No,Yes,"Someone who possesses strong knowledge or expertise (e.g. teachers, professors, scholars)",Neutral,T2B,T2B,Neutral,B2B,No,No,No,Yes,No,Yes,No,Fairness_Cheating
950,GEN24_1435,2002,19,19,16-24 years old,Male,Full-time student,Secondary school,Transportation and Storage,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Strongly Agree,Disagree,Agree,Strongly Agree,"People should be allowed to express their views or opinions, as long as it is done in a respectful manner",2,Single,No,"Below $1,000","Below $1,000",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,16-24 yo,Male,Low (below $3k),Low (below $4k),Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",T2B,B2B,T2B,T2B,B2B,No,No,No,Yes,No,Yes,No,Purity_Degradation
953,GEN24_1436,1999,22,22,16-24 years old,Female,Employee (working full-time in private sector),ITE/Vocational Institute,Education,"Non-management (Clerical/ Technical staff, General Worker)","Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",1,2,3,Neutral,Neutral,Neutral,Neutral,"People should be allowed to express their views or opinions, as long as it does not lead to social unrest",3,Single,No,"$1,000-$1,999","$4,000-$5,999",No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,16-24 yo,Female,Low (below $3k),Medium ($4k to $9.9k),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Single,No,Yes,No,Yes,"Representative(s) from official institutions (e.g. law enforcement, police officers, government authorities)",Neutral,Neutral,Neutral,Neutral,Neutral,No,No,No,No,Yes,No,Yes,Harm_Care
